               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.015114,           0.0090305,          0.00056952,             0.93811,             0.89276,             0.93117,             0.66556,            0.023952,            0.012528,           0.0035019,           0.0021473,           0.0021473,           0.0021473
                 139,            0.015212,           0.0091799,          0.00063655,              0.9494,             0.88213,             0.93149,             0.66556,             0.02396,            0.012558,           0.0035169,           0.0021257,           0.0021257,           0.0021257
                 140,            0.014969,           0.0091133,          0.00063577,             0.94472,             0.88542,             0.93156,             0.66559,            0.023968,            0.012585,           0.0035303,           0.0021057,           0.0021057,           0.0021057
                 141,            0.014876,           0.0092928,          0.00072654,             0.93307,             0.89546,             0.93135,             0.66562,             0.02397,             0.01261,           0.0035408,           0.0020874,           0.0020874,           0.0020874
                 142,            0.014873,           0.0090199,          0.00060591,             0.93226,             0.89619,             0.93129,             0.66494,            0.023971,            0.012639,            0.003557,           0.0020709,           0.0020709,           0.0020709
                 143,             0.01504,            0.009236,          0.00071787,             0.93632,             0.89111,             0.93079,             0.66545,            0.023974,            0.012662,           0.0035751,            0.002056,            0.002056,            0.002056
                 144,            0.014843,           0.0089559,          0.00063905,             0.93233,             0.89442,             0.93066,             0.66526,             0.02398,            0.012684,           0.0035876,           0.0020429,           0.0020429,           0.0020429
                 145,            0.014741,           0.0089113,           0.0006438,             0.94913,             0.88123,             0.93085,             0.66478,            0.023986,            0.012707,           0.0035917,           0.0020315,           0.0020315,           0.0020315
                 146,            0.014945,           0.0089761,          0.00069543,             0.94903,             0.88209,             0.93037,             0.66474,            0.023989,            0.012725,           0.0035904,           0.0020219,           0.0020219,           0.0020219
                 147,            0.014953,           0.0090509,          0.00072404,             0.94852,             0.88182,             0.93031,             0.66526,             0.02399,            0.012734,           0.0035877,            0.002014,            0.002014,            0.002014
                 148,            0.014814,           0.0090543,          0.00068194,             0.94733,             0.88151,             0.93023,             0.66506,            0.023992,            0.012747,           0.0035934,           0.0020079,           0.0020079,           0.0020079
                 149,            0.014708,           0.0089757,          0.00056932,             0.93064,             0.89606,             0.93056,             0.66495,            0.023998,            0.012763,           0.0035972,           0.0020035,           0.0020035,           0.0020035
